,ISO,Country,BOS_KICKOFF_REVIEW_TRACKERID,AGENCY_NAME,participating,RISK_DESCRIPTION,LIKEHOOD,IMPACT,RISK_TREATMENT,MITIGATION_MEASURES,OVERALL_RISK
13,AFG,Afghanistan,229,UNICEF,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
14,AFG,Afghanistan,229,UNIDO,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
15,AFG,Afghanistan,229,UNOPS,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
16,AFG,Afghanistan,229,UNS - OCHA,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
17,AFG,Afghanistan,229,UNS - OHCHR,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
18,AFG,Afghanistan,229,UNS – RCOs,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
19,AFG,Afghanistan,229,UNS - UN Habitat,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
20,AFG,Afghanistan,229,UNS – UNAMA,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
21,AFG,Afghanistan,229,UNS - UNCTAD,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
22,AFG,Afghanistan,229,UNS - UNEP,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
23,AFG,Afghanistan,229,UNS - UNODC,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
24,AFG,Afghanistan,229,UNV,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
25,AFG,Afghanistan,229,WFP,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
26,AFG,Afghanistan,229,WHO,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
27,AFG,Afghanistan,229,World Bank,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
28,AFG,Afghanistan,229,FAO,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
29,AFG,Afghanistan,229,IFAD,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
30,AFG,Afghanistan,229,ILO,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
31,AFG,Afghanistan,229,IMF,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
32,AFG,Afghanistan,229,IOM,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
33,AFG,Afghanistan,229,ITC,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
34,AFG,Afghanistan,229,UN,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
35,AFG,Afghanistan,229,UN WOMEN,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
36,AFG,Afghanistan,229,UNAIDS,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
37,AFG,Afghanistan,229,UNDP,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
38,AFG,Afghanistan,229,UNESCO,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
39,AFG,Afghanistan,229,UNFPA,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
40,AFG,Afghanistan,229,UNHCR,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
41,AFG,Afghanistan,229,UNICEF,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
42,AFG,Afghanistan,229,UNIDO,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
43,AFG,Afghanistan,229,UNOPS,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
44,AFG,Afghanistan,229,UNS - OCHA,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
45,AFG,Afghanistan,229,UNS - OHCHR,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
46,AFG,Afghanistan,229,UNS – RCOs,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
47,AFG,Afghanistan,229,UNS - UN Habitat,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
48,AFG,Afghanistan,229,UNS – UNAMA,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
49,AFG,Afghanistan,229,UNS - UNCTAD,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
50,AFG,Afghanistan,229,UNS - UNEP,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
51,AFG,Afghanistan,229,UNS - UNODC,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
52,AFG,Afghanistan,229,UNV,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
53,AFG,Afghanistan,229,WFP,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
54,AFG,Afghanistan,229,WHO,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
55,AFG,Afghanistan,229,World Bank,True,Air pollution,Possible,Slight Concern,Monitor,"There should be no burning of waste or construction materials or cleared vegetation on site.
Cement processing plants should be far from residential areas.",Medium
56,AFG,Afghanistan,229,FAO,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
57,AFG,Afghanistan,229,IFAD,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
58,AFG,Afghanistan,229,ILO,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
59,AFG,Afghanistan,229,IMF,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
60,AFG,Afghanistan,229,IOM,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
61,AFG,Afghanistan,229,ITC,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
62,AFG,Afghanistan,229,UN,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
63,AFG,Afghanistan,229,UN WOMEN,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
64,AFG,Afghanistan,229,UNAIDS,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
65,AFG,Afghanistan,229,UNDP,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
66,AFG,Afghanistan,229,UNESCO,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
67,AFG,Afghanistan,229,UNFPA,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
68,AFG,Afghanistan,229,UNHCR,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
69,AFG,Afghanistan,229,UNICEF,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
70,AFG,Afghanistan,229,UNIDO,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
71,AFG,Afghanistan,229,UNOPS,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
72,AFG,Afghanistan,229,UNS - OCHA,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
73,AFG,Afghanistan,229,UNS - OHCHR,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
74,AFG,Afghanistan,229,UNS – RCOs,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
75,AFG,Afghanistan,229,UNS - UN Habitat,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
76,AFG,Afghanistan,229,UNS – UNAMA,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
77,AFG,Afghanistan,229,UNS - UNCTAD,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
78,AFG,Afghanistan,229,UNS - UNEP,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
79,AFG,Afghanistan,229,UNS - UNODC,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
80,AFG,Afghanistan,229,UNV,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
81,AFG,Afghanistan,229,WFP,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
82,AFG,Afghanistan,229,WHO,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
83,AFG,Afghanistan,229,World Bank,True,"Security Risk
Cultural barrier
Covid 19 
Risk of decree from the Government
Economical risk",Possible,Significant Concern,Monitor,"Provide support with UN transportation like UN flights from regions to Kabul. Ensure all participants are fully vaccinated for covid 19 to strengthen the capacity building. 
Visibility information to",High
84,AFG,Afghanistan,229,FAO,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
85,AFG,Afghanistan,229,IFAD,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
86,AFG,Afghanistan,229,ILO,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
87,AFG,Afghanistan,229,IMF,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
88,AFG,Afghanistan,229,IOM,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
89,AFG,Afghanistan,229,ITC,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
90,AFG,Afghanistan,229,UN,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
91,AFG,Afghanistan,229,UN WOMEN,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
92,AFG,Afghanistan,229,UNAIDS,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
93,AFG,Afghanistan,229,UNDP,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
94,AFG,Afghanistan,229,UNESCO,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
95,AFG,Afghanistan,229,UNFPA,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
96,AFG,Afghanistan,229,UNHCR,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
97,AFG,Afghanistan,229,UNICEF,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
98,AFG,Afghanistan,229,UNIDO,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
99,AFG,Afghanistan,229,UNOPS,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
100,AFG,Afghanistan,229,UNS - OCHA,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
101,AFG,Afghanistan,229,UNS - OHCHR,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
102,AFG,Afghanistan,229,UNS – RCOs,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
103,AFG,Afghanistan,229,UNS - UN Habitat,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
104,AFG,Afghanistan,229,UNS – UNAMA,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
105,AFG,Afghanistan,229,UNS - UNCTAD,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
106,AFG,Afghanistan,229,UNS - UNEP,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
107,AFG,Afghanistan,229,UNS - UNODC,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
108,AFG,Afghanistan,229,UNV,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
109,AFG,Afghanistan,229,WFP,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
110,AFG,Afghanistan,229,WHO,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
111,AFG,Afghanistan,229,World Bank,True,"Lack of overall support, engagement and participation, including Snr LDP and Mnmgt, from other AFPs.",Definite,Significant Concern,Control,Hold AFPs Snr LDP and Mnamt. accountable.,Very High
112,AFG,Afghanistan,229,FAO,True,"Potentially leading to unhealthy relationships or monopolistic behaviour, perception of preferences, or collusion among suppliers resulting in uncompetitive prices, thus diminishing quality and creati",Possible,Slight Concern,Monitor,"Closely and timely monitoring of the LTAs, the performance of the Suppliers under LTA and do market research for changes in price in the market as well as on the new items in the market.",Medium
113,AFG,Afghanistan,229,IFAD,True,"Potentially leading to unhealthy relationships or monopolistic behaviour, perception of preferences, or collusion among suppliers resulting in uncompetitive prices, thus diminishing quality and creati",Possible,Slight Concern,Monitor,"Closely and timely monitoring of the LTAs, the performance of the Suppliers under LTA and do market research for changes in price in the market as well as on the new items in the market.",Medium
114,AFG,Afghanistan,229,ILO,True,"Potentially leading to unhealthy relationships or monopolistic behaviour, perception of preferences, or collusion among suppliers resulting in uncompetitive prices, thus diminishing quality and creati",Possible,Slight Concern,Monitor,"Closely and timely monitoring of the LTAs, the performance of the Suppliers under LTA and do market research for changes in price in the market as well as on the new items in the market.",Medium
115,AFG,Afghanistan,229,IMF,True,"Potentially leading to unhealthy relationships or monopolistic behaviour, perception of preferences, or collusion among suppliers resulting in uncompetitive prices, thus diminishing quality and creati",Possible,Slight Concern,Monitor,"Closely and timely monitoring of the LTAs, the performance of the Suppliers under LTA and do market research for changes in price in the market as well as on the new items in the market.",Medium
116,AFG,Afghanistan,229,IOM,True,"Potentially leading to unhealthy relationships or monopolistic behaviour, perception of preferences, or collusion among suppliers resulting in uncompetitive prices, thus diminishing quality and creati",Possible,Slight Concern,Monitor,"Closely and timely monitoring of the LTAs, the performance of the Suppliers under LTA and do market research for changes in price in the market as well as on the new items in the market.",Medium
117,AFG,Afghanistan,229,ITC,True,"Potentially leading to unhealthy relationships or monopolistic behaviour, perception of preferences, or collusion among suppliers resulting in uncompetitive prices, thus diminishing quality and creati",Possible,Slight Concern,Monitor,"Closely and timely monitoring of the LTAs, the performance of the Suppliers under LTA and do market research for changes in price in the market as well as on the new items in the market.",Medium
