ISO3;Country;KICKOFF_TRACKERID;type;description;likelihood;impact;risktreatment;mitigationMeasure
BIH;Bosnia and Herzegovina;315;risk;Lease Agreement for the UN House expires in January 2023. Landlord might request higher rent.;Possible;Significant Concern;Control;Negotiations with Landlord and market survey to ensure that UN Agencies get rent upon fair and acceptable cost.
BIH;Bosnia and Herzegovina;315;risk;Mutual recognition statement, although signed by all participating UN agencies in BiH, not fully operational;Possible;Slight Concern;Accept;no
BWA;Botswana;316;risk;Both primary and secondary ISP are locally sourced which means if there is breakdown in incoming route, the UN will lose connectivity.;Possible;Significant Concern;Control;The primary route comes via South Africa while the secondary link is via Namibia over WACs.
BWA;Botswana;316;risk;Limited UN HR Capacities- the HR function is either subsumed under other functions or in some cases agencies work through their Regional offices and hubs.;Possible;Minimal;Accept;Engage the Regional offices and hubs in OMT discussions so they can participate in activities that have implications on their work.
BFA;Burkina Faso;317;risk;delay in the recruitment process;Highly Possible;Significant Concern;Control;Request the support of the regional HR support services
BFA;Burkina Faso;317;risk;Lack of budget for activities;Highly Possible;Significant Concern;Control;UNCT to hold thorough review of the BOS plan to consider additional funding commitmments.
BFA;Burkina Faso;317;risk;lack of data;Highly Possible;Slight Concern;Control;Ensure regular collection of first line data available at local agency level
BFA;Burkina Faso;317;risk;Lack of motivation of staff;Highly Possible;Slight Concern;Control;UNCT to suggest and/or clarify options and incentives for the staff
BFA;Burkina Faso;317;risk;Lack of qualitative assessment of the roster;Possible;Slight Concern;Control;Outreach the regional and HQ level to ensure qualitative assessment.
BFA;Burkina Faso;317;risk;Lack of response of  UN agencies to surveys;Possible;Minor;Control;Regular advocacy performed through apprapriate settings (UNCT, PMT , OMT)
BFA;Burkina Faso;317;risk;pandemic, emergency and security situation can limit common ICT services implementation;Possible;Significant Concern;Control;"online meeting
Use of UNHAS to travel"
BFA;Burkina Faso;317;risk;Unavailability of some staffs of working group;Highly Possible;Significant Concern;Transfer;Request the Heads of agencies to instruct their staff to participate in the activities of the WG
BFA;Burkina Faso;317;risk;unavailability of the others working group to implement ICT common services;Possible;Slight Concern;Control;Organize meeting with the others working group and OMT to discuss the matter
BFA;Burkina Faso;317;risk;weak utilization of the roster by agencies;Possible;Minor;Accept;Regular communication and advertisement to the OMT
CPV;Cabo Verde;319;risk;Data will not be available to ensure completion of all required micro assessments;Possible;Slight Concern;Control;Implementing Partners collaboration is imperative
CPV;Cabo Verde;319;risk;Different Procurement policies among the Agencies;Possible;Slight Concern;Accept;Agencies to accept  and apply mutual recognition
CPV;Cabo Verde;319;risk;Headquarter policies do not support unified country based approaches to joint procurement services;Remote;Minor;Avoid;HQS  collaboration & guidance is imperative
CPV;Cabo Verde;319;risk;Lack of input from agencies during solicitation process.;Possible;Slight Concern;Avoid;Agencies collaboration is imperative
CPV;Cabo Verde;319;risk;That UN agency inputs into human resources surveys are not received within prescribed timeframes;Possible;Slight Concern;Avoid;Agencies collaboration is imperative
CPV;Cabo Verde;319;risk;The candidates included in the database are not available to participate in the recruitment process;Possible;Slight Concern;Avoid;Database periodically updated
CPV;Cabo Verde;319;risk;The UN system will not be able to access the resources needed to provide capacity development activities;Possible;Minimal;Control;Agencies collaboration is imperative
CMR;Cameroon;321;risk;Compliance of service providers with UN procedures.;Negligible;Slight Concern;Control;Working group performance meetings with service providers
CMR;Cameroon;321;risk;Lack of Agency commitment to simplify and harmonize business processes.;Negligible;Significant Concern;Control;OMT and inter agency Communication included RC office involvement
CMR;Cameroon;321;risk;OMT capacity to implement the BOS;Negligible;Slight Concern;Control;Regular OMT updates on WG process
CAF;Central African Republic;322;risk;délai de recrutement (en fonction de la mise à jour progressive du roster);Highly Possible;Significant Concern;Accept;mettre en place un systeme de suivi efficace
CAF;Central African Republic;322;risk;Ne pas trouver sur le marché des prestataires remplissant les exigences du contrat;Possible;Slight Concern;Monitor;possibilite de recourir a des piggy- back au niveau sous regional
CAF;Central African Republic;322;risk;"Risque sécurité peut empêcher les déplacements sur le terrain,
Faible capacité des partenaires natio";Highly Possible;Significant Concern;Transfer;Mesures a prendre dans le cadre de la criticalite des programmes avec possibilite de transferer les risques existentielles
CAF;Central African Republic;322;risk;"Sécurité sur le corridor Douala-Bangui; Tracasseries administratives et douanières; Détérioration de";Possible;Slight Concern;Monitor;Utilisation des escortes sur les troncons MSR1 categorises rouge ou orange
CAF;Central African Republic;322;risk;situation sécuritaire instable, 4 operateurs telecoms avec une mauvaise couverture nationale;Highly Possible;Significant Concern;Accept;Activation des systemes de communication alternatives, Thuyaya, UHF, VHF, etc...
CAF;Central African Republic;322;risk;"Situation sécuritaire
Validation du rapport par la partie nationale";Highly Possible;High Concern;Accept;Mettre en place un systeme de coordination avec les FSI
TCD;Chad;323;risk;"Indisponibilité des membres du comité d'enquête salariale ; Manque de collaboration et rétention d'i";Possible;Slight Concern;Avoid;Avoir un canal de communication permanent
TCD;Chad;323;risk;La non contribution des agences aux différents coûts liés à ce service.;Definite;Significant Concern;Avoid;Communiquer les coûts à contribuer
TCD;Chad;323;risk;La non disponibilité des points focaux des sous-groupes de travail;Negligible;Negligible;Accept;Etre toujours disponible
TCD;Chad;323;risk;Les Agences des Nations Unies n'auront pas de programmes / projets dans des locaux communs.;Possible;Significant Concern;Accept;Etablir des communications inter_agences autour des programmes/projets
TCD;Chad;323;risk;Les agences du SNU ne partagent pas les informations sur le processus de recrutement;Negligible;Minor;Accept;Toujours interchanger avec les agences.
TCD;Chad;323;risk;Tous les hôtels accepté des LTA communs, n'appliquent pas systématiquement les clauses.;Remote;High Concern;Control;Mobilisation de toutes les agences.
CIV;Cote d'Ivoire;328;risk;Faible participation des agences aux réunions. Faible taux de réponse des agences dans la collecte de l'information.;Highly Possible;Significant Concern;Control;Suivi du Sous groupe OMT
CIV;Cote d'Ivoire;328;risk;Manque d'engagement des agences à mettre en oeuvre les contrats de services communs accordés;Possible;Significant Concern;Control;"Sensabiliser les agences des avantages des contrats communs et des économies d'échelle que le SNU peut génerer grâce à ces services communs. 
Renforcer les capacités en donnant des formations sur le B"
CUB;Cuba;329;risk;Context: COVID-19 impacts costs of operations, programme delivery and staff wellbeing.;Highly Possible;Significant Concern;Transfer;Work collaboratively, creating partnerships within the UN System in order to save costs and speed up the programme implementation.
CUB;Cuba;329;risk;Context: Failure in local systems (Etecsa internet and banking) limiting operational continuity.;Possible;Significant Concern;Accept;Monitor closely, strengthening the partnership and to look for new opportunities.
CUB;Cuba;329;risk;Context: Fuel scarcity crises may directly impact continuity of operations.;Possible;Slight Concern;Accept;Improve the planning of the logistics.
CUB;Cuba;329;risk;Context: Inflation and foreign currency impact as part of the economic crisis.;Highly Possible;Significant Concern;Transfer;Monitor the risk and adapt to the new context.
CUB;Cuba;329;risk;Context: Natural disasters which affect programme delivery and continuity of operations.;Possible;Slight Concern;Transfer;A Task Force is in place to monitor, advise and communicate.
CUB;Cuba;329;risk;Context: Reforms and economic crisis limits operations and increases costs.;Highly Possible;Significant Concern;Transfer;To improve the planning as well as the budgetary process. Look for new opportunities to continue the operations.
CUB;Cuba;329;risk;Context: the creation of new legal actors and frameworks.;Definite;Slight Concern;Transfer;Monitor the risk and hire a consultant to assess the frameworks.
CUB;Cuba;329;risk;Context: US embargo and its costs implications in financial operations, providers & supplies.;Definite;High Concern;Accept;Search for opportunities within the very tight context and the consequences created by the US Embargo on Cuba.
CUB;Cuba;329;risk;Institutional: Business as usual mindset from UN colleagues when implementing BOS.;Remote;Minor;Avoid;Focus on communicating effectively, planning and monitoring on weekly basis.
CUB;Cuba;329;risk;Institutional: Lack of commitment and silos from UN entities in implementing BOS.;Remote;Minor;Control;Communicating clearly the benefits of the Strategy.
CUB;Cuba;329;risk;Institutional: Low level of knowledge about UN reform from UN entities.;Possible;Slight Concern;Control;Communicating clearly the benefits of the strategy and how relevant the Reform is, as well as the results that must be achieved.
CUB;Cuba;329;risk;Institutional: UN entities not reporting on time on KPI and advances.;Remote;Minor;Control;Strengthening the collaboration, creating and communicating an accountability framework, raising awareness of the BOS relevance.
CUB;Cuba;329;risk;Institutional: UN entities not willing to use mutual recognition.;Remote;Slight Concern;Control;Communicating the benefits of using it, and the impact on cost savings.
CUB;Cuba;329;risk;Operational: an increase on the leading-times and on the freight costs due to the current international trade context.;Highly Possible;Significant Concern;Monitor;A joint-negotiation to scale down the freight charges.
CUB;Cuba;329;risk;Operational: Complex mechanisms for programmatic supply management at customs.;Highly Possible;Slight Concern;Monitor;Negotiate with local partners, including authorities and beneficiaries, in order to optimize the nationalization process.
CUB;Cuba;329;risk;Operational: Different IT requirements from UN entities.;Possible;Slight Concern;Control;Search for collaboration in order to standardize the IT Equipment and related services. Also, take the most from the Mutual Recognition Statement.
CUB;Cuba;329;risk;Operational: Few providers operating with UN Cuba due to embargo.;Definite;Significant Concern;Transfer;Strengthening of the market research looking for new opportunities as well as take the most from the Mutual Recognition Statement.
CUB;Cuba;329;risk;Operational: Key providers in country are a sole state owned company with no options for negotiation;Definite;Slight Concern;Accept;It is a fact, and Organizations shall adapt.
CUB;Cuba;329;risk;Operational: Local markets with high level of scarcity impacting operations and programmes.;Highly Possible;Slight Concern;Accept;To monitor and create new partnerships, focusing on new markets for the supply chain.
CUB;Cuba;329;risk;Operational: Several and different cosignatories  managed across UN system for programmatic supplies.;Possible;Slight Concern;Monitor;Improve the UN System Joint Planning at the procurement sphere.
CUB;Cuba;329;risk;Operationally: High level of dependency in importation processes for supplies and specific services.;Highly Possible;Significant Concern;Accept;Work collaboratively and take the most from the Mutual Recognition Statement.
CUB;Cuba;329;risk;Programme: Lack of opportunities in resource mobilization, limiting operational initiatives.;Possible;Significant Concern;Accept;To accept and search for funds.
CUB;Cuba;329;risk;Programme: Lack of programmatic planning may increase transactional costs.;Possible;Slight Concern;Monitor;Improve the joint-planning within Programme Sectors and UN System.
COD;Democratic Republic of the Congo;330;risk;Agencies may not release cost sharing on time;Possible;Slight Concern;Accept;OMT will discuss with UNCT to find a solution
COD;Democratic Republic of the Congo;330;risk;Continuous staff turnover to maintain the momentum;Possible;Slight Concern;Accept;OMT will discuss with UNCT to find a solution
COD;Democratic Republic of the Congo;330;risk;There may not be sufficient market capacity to establish contract;Possible;Slight Concern;Accept;OMT will discuss with UNCT to find a solution
COD;Democratic Republic of the Congo;330;risk;UN Agencies policies and procedures may not allow them to fully participate in the joint activities;Possible;Slight Concern;Accept;OMT will discuss with UNCT to find a solution
DJI;Djibouti;331;risk;La non participation active des membres des groupes de travail et des autres membres des agences UN;Possible;High Concern;Control;Regular briefing in OMT and UNCT or Agency participation
DJI;Djibouti;331;risk;Le manque de leadership du chair de l'OMT  pourrait constituer un facteur d'échec;Possible;High Concern;Control;Feedback régulier doit etre mis en place pour donner l'avancement de l'execution du Plan.
DJI;Djibouti;331;risk;Une méconnaissance de l'importance du BOS 2.0 par le UN staff affaiblirait leur adhesion;Negligible;Minimal;Accept;Les termes de références de chacun des participants doivent inclure au moins une tâche relative aux actions du Bos.
DJI;Djibouti;331;risk;Une recrudescence accrue de la crise pandémique pourrait constituer un frein a la mise en œuvre;Negligible;Minimal;Accept;Dans chaque agence il y a un plan de containgence qui définit un nombre de staff clés pour la mise en oeuvre des actions .
DJI;Djibouti;331;risk;Unless reliable data is entered, the Benefit Analysis might be misleading.;Highly Possible;Significant Concern;Monitor;Reinforce through trainings the level of awareness of as well as the purpose of this platform to the Working Groups so that adequate engagement and commitment is reached to obtain reliable information
ECU;Ecuador;333;risk;Due to COVID 19 pandemic, implementation and development of BOS activities could be affected or dela;Possible;Slight Concern;Accept;As UN leader agency, UNHCR will promote even the situation virtual meetings
ECU;Ecuador;333;risk;Lack of coordination between UN agencies may affect the time line to achieve the BOS` goals.;Possible;Minimal;Control;For each meeting UNHCR will prepare a minute where describes all the points and agreements. This will share with OMT Chair in order to let him know the interest of the Agencies.
ECU;Ecuador;333;risk;Lack of financial resources to implement the BOS;Negligible;Minimal;Accept;The services is indispensable for UN Agencies in order to recover VAT. This has to be implemented
ECU;Ecuador;333;risk;Lack of interest and commitment on behalf of UN agencies that are participating in BOS;Possible;Slight Concern;Accept;Follow up with the other UN Agencies
ECU;Ecuador;333;risk;Lack of interest of some suppliers in participating in tenders,  due to the various UN requirements;Negligible;Minor;Accept;The process has been done for 5 years.
ECU;Ecuador;333;risk;Some agencies could decide to leave the common services and opt for individual alternatives.;Remote;Negligible;Accept;Do follow up with the other UN Agencies
GNQ;Equatorial Guinea;335;risk;No presence of Staff in UN Building due to COVID-19 restriction extended or teleworking modality.;Possible;Significant Concern;Monitor;Identify alternative working modalities and establish access control measurements such as temperature measurement, etc.
GNQ;Equatorial Guinea;335;risk;"No presence of Staff in UN Building due to Marburg restriction extended or teleworking 
modality.";Possible;Minimal;Control;OMT will discuss and advise UNCT
ERI;Eritrea;336;risk;Changes and restrictions in government policy;Possible;Slight Concern;Accept;OMT will discuss and find solution
ERI;Eritrea;336;risk;Changes in local legislation for VAT and other taxes may affect the agreement signed;Possible;Slight Concern;Accept;OMT will discuss and find solution
ERI;Eritrea;336;risk;Different consultancy rates among participating agencies.;Remote;Minimal;Transfer;OMT will discuss and find solution
ERI;Eritrea;336;risk;Different thresholds for audit and spot-checks among participating Agencies.;Possible;Significant Concern;Monitor;Discuss/ advocate for agencies to relay on Audits done by other agencies
ERI;Eritrea;336;risk;Fluctuation in demand and market price.;Possible;Significant Concern;Accept;OMT will discuss and find solution
ERI;Eritrea;336;risk;Government restriction on paper importation may jeopardize the market.;Possible;Slight Concern;Accept;OMT will discuss and find solution
ERI;Eritrea;336;risk;Lack of competent companies to respond to UN needs.;Possible;Slight Concern;Transfer;OMT will discuss and find solution
ERI;Eritrea;336;risk;Lack of participation of UN Agencies in joint IPs audits and spot-checks;Possible;High Concern;Transfer;Continuous monitoring and discussion among the HACT working group
ERI;Eritrea;336;risk;Staff might not use the out door gym facility put in place.;Remote;Significant Concern;Control;organize different health awareness sessions to create demand
ERI;Eritrea;336;risk;UN agencies may not utilize the established  common LTA's;Possible;Significant Concern;Avoid;Sharing the LTA's created with all participating agencies on time.
SWZ;Eswatini;337;risk;Social distancing limits your interaction with the benefitiaries;Possible;Slight Concern;Control;Monitor the lockdown situation incountry and identify possible openings to provide face to face training.
SWZ;Eswatini;337;risk;Some UN Agencies may not agree or not be able to use the ERP system.;Possible;Minimal;Transfer;Further training is required from the trainers in country as the webinars are not fully followed.
SWZ;Eswatini;337;risk;UN Agencies may not be able identify women-owned vendors that meets the eligibility requirements.;Possible;Slight Concern;Transfer;Adopt innovative ways of collecting the vendor information from suppliers that will indicate the level of gender percentage.
SWZ;Eswatini;337;risk;UN Agencies may not be able to conduct in-person training due to COVID-19.;Possible;Slight Concern;Transfer;Monitor the Country situation to identify easing of the lockdown and schedule the training accordingly.
ETH;Ethiopia;338;risk;Agencies' may not provide data during annual review;Highly Possible;High Concern;Control;Continuous follow up of Agencies to provide data on time
ETH;Ethiopia;338;risk;All hotels established common LTAs may not implement COVID prevention measures;Possible;Slight Concern;Avoid;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;Different policies and procedures implemented by Agencies;Highly Possible;Significant Concern;Monitor;Follow up Agencies to sign and implement Mutual recognition statement
ETH;Ethiopia;338;risk;Due to COVID pandemic, the UN would not be able to organize mass gatherings.;Possible;Slight Concern;Monitor;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;Few participation of Agencies during implementation and annual review;Possible;Significant Concern;Control;Escalate the case to OMT and UNCT
ETH;Ethiopia;338;risk;Harmonize tax refunds and exemption policies will  be impacted by changes in local legislation.;Possible;Minor;Accept;OMT will monitor and agree with the way forward
ETH;Ethiopia;338;risk;I/ NGOs will not provide different DSA rates for Government appointed officials/ civil servants.;Highly Possible;Significant Concern;Monitor;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;Shortage of funds for capacity building of staff and implementation of common service;Highly Possible;Significant Concern;Monitor;Prepare a budget and get approval from OMT and UNCT
ETH;Ethiopia;338;risk;Staff turnover;Highly Possible;Significant Concern;Monitor;OMT should provide training r to new staff regularly
ETH;Ethiopia;338;risk;UN Organizations may not agree to set up Joint Recruitment Panels.;Possible;Slight Concern;Monitor;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not agree to utilize the car pooling system.;Possible;Slight Concern;Accept;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not be able to achieve gender parity by 2025.;Possible;Slight Concern;Control;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not be able to conduct in-person training due to COVID 19;Possible;Slight Concern;Monitor;OMT will monitor and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not be able to identify women-owned vendors that meets the eligibility requirem;Remote;Minimal;Transfer;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not contribute to the maintenance of the IKM platform.;Possible;Slight Concern;Accept;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not get a favorable foreign currency exchange rate.;Possible;Slight Concern;Accept;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;"UN Organizations may not have enough resources to transform the premises into ""Green"" premises.";Possible;Slight Concern;Accept;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not have the tools to conduct the mapping.;Remote;Significant Concern;Transfer;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not participate for common LTAs;Possible;Slight Concern;Accept;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations may not share the information on micro assessed IP in a timely manner.;Negligible;Minimal;Transfer;OMT will monitor and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations will not have programmes/ projects in common premises locations.;Possible;Minor;Monitor;OMT will asses and agree with the way forward
ETH;Ethiopia;338;risk;UN Organizations will not receive the approval from its respective HQs to implement harmonized rates;Negligible;Minor;Accept;OMT will asses and agree with the way forward
GAB;Gabon;340;risk;Lack of capacity to implement the BOS;Remote;Minor;Control;Encourage participation
GAB;Gabon;340;risk;Low engagement of OMT members;Remote;Slight Concern;Control;Encourage participation
GAB;Gabon;340;risk;UN Organizations may not agree to utilize the car pooling system.;Possible;Slight Concern;Monitor;OMT will monitor this risk and alert the UNCT
GAB;Gabon;340;risk;UN Organizations may not participate for common LTAs;Possible;Slight Concern;Monitor;OMT monitor this risk and alert the UNCT
GAB;Gabon;340;risk;UN Organizations may not utilize the established common LTA;Possible;Slight Concern;Transfer;Share already established LTAs
GMB;Gambia;341;risk;Lack of commitment and coordination of the implentation plan;Possible;Significant Concern;Monitor;Report to UNCT and RC of any lack of coordination of the implementation plan
GMB;Gambia;341;risk;lack of commitment to the action plan and coordination of the activities.;Highly Possible;Significant Concern;Monitor;Report to UNCT any observed lack of commitment by Agency Heads or OMT WG members
GMB;Gambia;341;risk;possibility of misguided actions and decisions and the possibility of not being aware of best practices;Possible;Significant Concern;Avoid;Sensitize all OMT members, WGs and UNCT on common practices with guidelines on decision making
GMB;Gambia;341;risk;Pre-existing Corporate Level Agreements of the various Agencies;Possible;Slight Concern;Accept;Emphasize the mutual recognition principle which allows Agencies to rely on the procedures and practices of other Agencies
GMB;Gambia;341;risk;RISK THAT GRA WILL NOT BE FLEXIBLE WITH OUR DEMANDS;Possible;Slight Concern;Monitor;Liaise with the Foreign Affairs and Finance Ministries to ensure that the HQ Agreements on tax exemptions and VAT refunds are respected
GHA;Ghana;343;risk;Delays in paying budget contribution for a common budget;Negligible;Negligible;Control;Agencies will use the LTA in procuring the the service and pay directly to the vendor
GHA;Ghana;343;risk;Lack of commitments from OMT members to spend time on common services activities;Possible;Significant Concern;Control;OMT to discuss with UNCT and  find solutions.
GHA;Ghana;343;risk;Poor quality of services from service provider;Possible;Slight Concern;Transfer;OMT to discuss with Procurement and Admin WGs and  find solutions.
GHA;Ghana;343;risk;Price fluctuation may affect the planned outcome;Possible;Significant Concern;Transfer;OMT to discuss with Finance WG and  find solutions.
