iso;COUNTRY;KICKOFF_TRACKERID;startDate;endDate;description
MDV;Maldives;358;2024-01-01;2024-03-31;"In line with the UN Secretary-General’s reform agenda to reposition the United Nations Development System, adoption of an improved Business Operations Strategy (BOS) is mandatory for all UNCTs with a global deadline of December 2021. The BOS is a results-based framework that focuses on joint business operations with the purpose of eliminating duplication, leveraging the common bargaining power of the UN and maximizing economies of scale. It is facilitated by the principle of mutual recognition and constitutes of a reliable evidence-based foundation for the establishment of common back offices.

The BOS for the Maldives applies to the areas of work most relevant to the UN Agencies operating in the country and is focused and structured around four service lines: Common Finance services, Common human resources management, Common procurement services, and Common ICT services.

The UNCT for the Maldives comprises of 15 UN entities. However, with a modest programmatic presence of the UN system in Maldives, majority of the UN entities that operate in Maldives are based outside of the country and provides support virtually. The operations of these agencies are conducted through the head office operating from another country, mainly either Sri Lanka, India or Bangkok.  As such the OMT membership for the Maldives constitutes of 5 UN agencies which conducts prominent operations within the country.

Under the strategic guidance and oversight of the UNCT, the OMT dedicated substantial human resources of the staff to complete the Annual Review of the BOS 2.0. Like development of the BOS the Annual review was a first experience and therefore considered as a learning process for the OMT members. Several dedicated series of discussions, supported by the DCO BOS focal points, and analytical exercises were required to complete the various steps leading to the quality review of the BOS implementation plan.

In line with recommendations of the BOS guidance on Monitoring Annual Review the OMT has reviewed the progress of agreed common services, discussed the existing bottlenecks, and agreed on way forward. The analysis showed that implementation of the selected services was heavily affected by COVID-19 pandemic and a respective additional workload on agencies. This resulted in the implementation rate of 20% as only two services out twelve planned were started/implemented in 2021: mental sessions for the UN Staff were arranged by the RCO as a part of the training activities under the Human Resources service line, and Macro assessment was initiated jointly by UNDP, UNICEF, and UNFPA in 2021. The annual revision exercise revealed necessity to postpone implementation of a joint recruitment panel service due to undergoing clustering of HR services. 

As a result of the review process the UNCT and OMT have agreed to continue implementation of the remaining eleven services in 2023 and assess the monetary efficiency gains and the quality of the implemented services in the next cycle of the annual review in 2023. 

The OMT reviewed the BOS Work Plan for 2022 and acknowledges the need to increase ambition for common initiatives in 2023.  To this end, new initiatives of carpooling has been added and the OMT plans to undertake detailed discussions in 2nd quarter of 2023 to revise the BOS implementation plan 2023 for Maldives."
MEX;Mexico;362;2024-01-01;2024-03-31;"The UN Country Team (UNCT) in Mexico is currently composed by 29 organizations, which includes 22 residents and 7 nonresident agencies. The cooperation framework between the Government of Mexico and the United Nations for 2020-2025 was signed. The new document, entitled United Nations Sustainable Development Partnership Framework (UNSDPF) is structured in four (4) areas of work that reinforce each other: i. Equality and Inclusion; ii. Prosperity and Innovation; iii. Green Economy and Climate Change and  Peace, Justice; and, iv. the Rule of Law, with two areas that are transversals to all of them: Gender Equality and Empowerment of Women, Girls; and, Migrants and Refugees People  

The UN Secretary General has outlined the need for UN to implement changes to pursue “more cost-efficient support services, by reducing the duplication of functions and administrative and transaction costs through the consolidation of support services at the country level…”. The efficiency reforms are directed to optimize the manner the UN do business operations today. The UNSDG Business Innovation Group (BIG)  has been asked to lead the implementation of the strategy to ensure the targets set by the SG are met.

The Business Operations Strategy (BOS) among other efficiency interventions such as Common Back office(CB), Common Premises (CP) and Regional and Global Shared Services Centers are to be implemented at country or regional level in the short term.   These interventions are supported by three key enablers: a.- Mutual recognition; b.- Client satisfaction principles; and c.- Pricing and costing standards.

The BOS is a framework guiding UN business operations at the country level. The BOS facilitates the strategic planning, management, monitoring, and reporting of the UNCT’s joint support to programme delivery through common business operations.

The BOS is a flexible tool recommended for UN Country Teams that seek to enhance the quality and cost effectiveness of joint business operations.

The BOS reflects common services that are developed jointly and does not include or replace individual agency operation plans. Common services within BOS do not need to be common to all agencies, but rather can be a common service shared by two or more agencies.

Efforts in Mexico to implement the BOS 1.0 goes back to 2016 where a BOS methodology training and further discussion and analysis were held. Due to a variety of reasons, such initial effort was not successful.

Based on such experience, with a proactive partnership between the current UN Country Team and the Operations Management Team, it was agreed in June 2020 to start the design and planning of the BOS 2.0 which now includes an online platform.

For such purpose, UNCT delegated to the OMT (chaired by two members of the UNCT) the preparation of BOS 2.0.  For such purpose, six (6) task forces were established for the following lines  a.- Procurement; b.- ICT, c.- Human Resources; d.-Finance; e.- Administration/Facilities; and f.- Logistics. Selected staff members from 15 participating agencies were appointed as members of the task force based on their area of expertise.

For this first stage of the BOS, 15 Agencies, Funds and Programs participated in addition to the OCR. There are various reasons why not all AFPs residents in Mexico do not participate; Some have a more regional presence than at the Mexico level, and others have reduced work teams

A Coordination Team of four members was the link between the UNCT, the  OMT, Task Forces and Technical Support.

The result of the BOS exercise is a product of active inter-agency collaboration, a consultation and approval process between the Coordination team and the OMT and review and approval by the UNCT. For this exercise the various task forces incorporate for discussion and analysis topics such as gender parity, green initiative and disable people and inclusion. 

Taking into account the current working conditions as a result of the pandemic and seeking that the execution of the BOS will take place gradually and in a coordinated manner, it was decided that this first stage would cover two years of planning and implementation (2021 and 2022)

During the annual review process for 2022, the period for all common services has been extended until 2025  and data uptated accordingly.

Due to the delay in implementing the common services and the complexity that arises from the staff rotation in task forces to follow up on relevant planning frameworks, the OMT decided not to include new services during the 2022 annual review exercise. We expected to have the first common services implemented during Q4 2022, so there is no-cost avoidance to report in 2021

At the end of 2022 and the beginning of 2023, Mexico have been able to move forward and finished the common services detailed below:
1.      Green IT (2022)
2.      Security Services (2022)
3.      Insurance Services (2022)
4.      Interpretation and translation services (2023)
5.      Travel (2023)

Although some services have not been completed as planned, the OMT and the working groups have had Important progress on the Non CBA common services such as Tax services and Human Resources. For the case of TAX services it was decided to prioritize the review of the current regulation about Taxes requirements for national and international staff in Mexico, based on the convention on privileges and immunities. In regards to the Human resources services related to disability inclusion work has been focused on the identification of internal partners and relevant guidelines to implement the service.OMT decided to include one additional common service in 2023: Human Resources Survey related to the place to place survey that has been managed by the RCO and UNICEF with the participation of all Agencies.

In terms of cost savings, approximately 190k has been achieved so far and a projected USD 2.5 million for the next five years.

During the exercise 2023, plans are being updated and/or achieved and all CBAs and Quality KPI being reviewed and updated too."
MKD;North Macedonia;370;2024-01-01;2024-03-31;"In 2021, the United Nations Country Team (UNCT) in North Macedonia developed its Business Operations Strategy (BOS) in support of a more effective programme delivery of 2030 Agenda and UN development system reform.

BOS is a results-based framework that focuses on joint business operations in support to programme delivery, with the purpose of eliminating duplication, leveraging the common bargaining power of the UN and maximizing economies of scale. It is an essential, but flexible and voluntary tool for UNCT North Macedonia to support the implementation of 2021-2025 UN Sustainable Development Cooperation Framework (SDCF).

Fourteen UN entities are participating in BOS North Macedonia – FAO, ILO, IOM, OHCHR, UNDP, UNDSS, UNFPA, UNHCR, UNICEF, UNODC, UNOPS, UN-RCO, UN WOMEN and WHO. The Strategy focuses on five common thematic areas: procurement, ICT, administration, human resources and finance.


For 2023, four common services will be added: environmental sustainability of common premises, mapping/engagement of organizations of persons with disability and mapping of disability inclusion HR practices, and stationary procurement.

At the time of BOS development, the full BOS implementation during this period was estimated to result in savings of US$1.1 million as net benefits through efficiency gains in goods and service procurement, labour costs, as well as from savings in expenses. This was adjusted to $1.3 million during 2022 and to $1.1 million during the 2023 review. The actual realized cost savings in 2022 amounted to $130,635 and are estimated at $286,078 for 2023.

 
Besides the cost avoidance benefits, joint services continue to contribute to a high service standard, time efficiency and flexibility, transparency in reporting and information on performance, and overall higher quality of service delivery.

The successful implementation of the BOS in the country will be achieved through a high level of commitment and support from the UN Resident Coordinator, UNCT, Operations Management Team (OMT) and joint efforts of operations teams of all UN entities.
 
OMT was further strengthened in 2022 – it meets monthly, represents all UN entities with operational presence in the country and increasingly serves for information exchange and alignment on all operational issues such as vendors, use and establishment of long-term agreements, alignment of consultancy and service rates etc."
MLI;Mali;359;2024-01-01;2024-03-31;"Résumé Exécutif BOS Finale (14/04/2022)

1. Dans le contexte d’une crise multidimensionnelle à laquelle s’est ajoutée la pandémie du COVID-19, la stratégie relative aux activités opérationnelles [en anglais : business operations strategy (BOS)] est élaborée et mise en œuvre au Mali dans la perspective d’une meilleure rationalisation et recherche d’efficience des activités opérationnelles des Agences, Fonds, Programmes et entités des Nations Unies. Le BOS vient en appui au Cadre de coopération des Nations Unies pour le développement durable (UNSDCF), document de partenariat pour la période 2020-2024 entre le gouvernement de la République du Mali et le Système des Nations Unies. Les résultats de UNSDCF sont organisés autour de trois axes stratégiques et Six effets :
Axe 1 : Gouvernance efficace et redevable pour une société en paix, juste et inclusive avec deux effets centrés sur :
- L’Etat de droit, la paix et la redevabilité des institutions publiques, des médias et une société civile exerçant des rôles et responsabilités pour une gouvernance efficace et inclusif et ;
- La résilience des populations face aux conflits afin qu’elles vivent dans un environnement de paix, de sécurité et respectueux des droits de l’Homme et des traditions positifs culturels ;

Axe 2 : Croissance inclusive, résiliente, et durabilité environnementale avec deux effets visant :
- L’inclusivité de la croissance en vue de permettre aux populations maliennes plus particulièrement les plus vulnérables, de participer à l’économie et de bénéficier des fruits d’une croissance forte, inclusive, résiliente et créatrice d’emplois décents ;
- La durabilité environnementale et la résilience à travers des actions de renforcement des capacités des communautés afin de leur permettre de gérer durablement les ressources naturelles et d’être plus résilientes face aux effets néfastes du changement climatique ;

Axe 3 : Services sociaux de base et Protection sociale inclusive avec deux effets centrés Sur :
- L’accès plus équitable aux services sociaux de base de qualité pour les femmes, les enfants, les adolescents et les jeunes ;
- L’amélioration de l’accès aux services de protection sociale et aux actions humanitaires pour les personnes vulnérables[1] y compris celles en situation d’urgence.
 
2. Le BOS du Mali s’inscrit dans le cadre de l’agenda d’efficience prôné par le Secrétaire Général dans la réforme du Système des Nations Unies. Il est axé sur les résultats, et se concentre sur les activités de gestion et les opérations communes visant à éliminer les chevauchements, tirer parti du pouvoir de négociation des Nations Unies et maximiser les économies d’échelles. Il promeut spécifiquement les principes de satisfaction du client, de la qualité des services et de l’optimisation des coûts.

3. Le BOS du Mali est élaboré pour la période 2021-2025 et s’articule autour de 5 catégories de services et 25 lignes en 2021. Il est mis en œuvre suivant un plan de travail et de ressources approuvés annuellement par l’Equipe pays, avec le soutien de l’équipe de gestion opérationnelle (OMT) et l’appui technique de l’équipe de services communs. Il est examiné sur une base annuelle afin de prendre en compte les différentes évolutions de l’environnement et du contexte afin de maximiser les gains et les coûts évités.

4. A l’issue de l’examen 2021 de la première mise e œuvre du BOS, les coûts évités réels pour le Système des Nations Unies au Mali s’élèvent à $455179, ce qui est très encourageant compte tenu du contexte de mise en œuvre marqué notamment par la persistance de la pandémie de la COVID 19 et l’instabilité politique et sécuritaire au Mali. Le service commun relatif à la sécurité et au gardiennage présente les plus forts coûts évités, $270097 en 2021. Les services relatifs aux solutions de durabilités environnementale dont les installations solaires dans les bureaux avec des coût évités 56575 $ présentent quant à eux un très fort impact notamment sur la qualité de l’environnement de travail et la continuité des services.

5. La qualité des services communs est en nette amélioration sur la base de l’enquête de satisfaction menée. En effet des avancées majeures sont notées dans le domaine des infrastructures durables et des services de l’administration, y compris les locaux communs. Des activités novatrices ont été lancées à l’exemple de l’installation progressive de l’Energie solaire. Il est à noter cependant que l’un des défis majeurs reste les données prévisionnelles de qualité. Par conséquent des outils et moyens de mesure de la qualité de services seront approfondis à partir de l’exercice 2022.
 
3. Dès l’année prochaine le BOS Mali recentrera aussi ses efforts sur les services communs qui apportent plus de valeur ajoutée en termes de qualité des services et de coûts évités. A cet effet, l’amplification de l’optimisation de la gestion des locaux communs suivant les standards des Nations Unies en cours de développement, la mise à l’échelle des solutions de durabilité environnementale et des accords-cadres à long termes (LTA) les plus prometteurs seront parmi les priorités.

[1] Le Bilan Commun de Pays a identifié comme populations vulnérables trois groupes sociaux qui sont : i) les femmes ; ii) les enfants de 0 à 16 ans ; iii) les personnes vivant dans l’extrême pauvreté et les jeunes au chômage. PCA, page 76
 "
MMR;Myanmar;366;2024-01-01;2024-03-31;"The UN Country Team (UNCT) Myanmar launched its first Business Operations Strategy (BOS) in June 2018, making the BOS a priority and building on the progress achieved in the past years implementing a ""Delivering as One"" approach in Myanmar. 

Using the opportunity to transit onto the BOS 2.0 on-line platform, the Operations Management Team (OMT) in Myanmar in 2020 reviewed the progress of all outcome areas (Admin & Logistics, Facilities services, Finance, Human Resources, Information Communications Technology and Procurement) and made adjustments and revisions where necessary. 

Therefore, the BOS start date of 2020 indicated in the BOS 2.0 online portal is the initial review date bringing the originally launched BOS up-to-date covering the years from 2018 - 2024 and making sure that the document remains a living strategy.

In the initial BOS 2.0., the UN in Myanmar was aiming to avoid costs of approx. USD 4.9 million through various collaborative approaches and common services.  Roughly 50% of these costs were expected to be saved in the common administration services including common facilities and premises.  The remaining 50% of cost avoidance was to be obtained through common finance, ICT, procurement, logistics and human resources services.

After the annual review 2023, the cost avoidance envisioned in the revised BOS 2.0 has increased to USD 6.4 million over a period of five years, with almost USD 2.7 million to be saved in common administration services, including common facilities and premises, and $2.5 million to be saved in common logistics.

The OMT put significant efforts into making a tangible progress in the implementation of the BOS Myanmar since the strategy was launched in mid-2018 and reported over USD 5 million cost avoidance achieved for the period 2019-2022 (USD 1.5 million in 2022).

These gains are the more impressive considering the continued impact of the military takeover of February 2021 on UN staff and operations in Myanmar, and by the COVID-19 pandemic impact in 2022. This said, achieving cost avoidance and quality improvements through common services remains an important priority of the OMT despite a continuously difficult operating environment."
MNE;Montenegro;364;2024-01-01;2024-03-31;"Montenegro is a Delivering as One country (DaO) which in 2009 voluntarily adopted this work approach, led by the Government of Montenegro and the UN System in the country.

2017-2021 BOS was developed as “Light”, meaning that for several services Cost Benefit Analyses has not been undertaken. Considering that the new BOS platform does not support the Light BOS, but also that some parts of the BOS are not relevant anymore, it was decided to develop completely new BOS covering period 2020-2024. 

This Business Operations Strategy 2020- 2024 builds on ongoing efforts by the UN Country Team to harmonize and simplify its business operations, as well as aim to introduce new opportunities for collaboration and initiatives for the UNCT for the period of five years. Considering that UN system in Montenegro works jointly since 2009and that volume of operations is small (12 to 15 million USD annually), it is concluded that most of the benefits from the existing common services have already been achieved. Therefore, the BOS focuses primarily on enhancing the quality of services and increasing on cost avoidance. However, increasing of cost savings on externally sourced goods and services for some common services is also planned to be achieved.

BOS represents a simplified - yet comprehensive, integrated and coherent framework reflecting instruments for quantified cost-benefit analysis, results-based planning, monitoring and evaluation. This cost avoidance is different to savings as it is not reflected in terms of financial gains in budget but rather leads to less recurrent and labour costs.

In its development, the BOS 2.0 reflects 4 common service areas:
Common Administration Services including common Facilities/Premises, Common Human Resource Services, Common ICT Services, Common Procurement Services.

BOS ensures cooperation in 22 common services. At the moment of BOS development in 2020, it was estimated that as a result of its full implementation over the five years, total benefit will be over 476.000$. It is worth mentioning that the majority of the avoidance was a result of common admin and ICT services particularly interpretation/ translation and editing services as well as travel and internet.

The BOS review 2023 showed the total benefit of 335k as a result of more accurate planning.

In 2022 OMT has implemented a number of new services such as: human resource surveys, PSEA and a number of services related to disability inclusion in business operations such as improved physical accessibility of the common premises, ICT accessibility assessment, training of staff on disability issues.

Following assessment of physical and IT accessibility, UNDP has started with implementation of the measures in the UN Eco House. A number of physical improvements have been made, especially in relation to the people with visual impairments, as the assessment showed that UN House was not accessible for visually impaired people at all, while mostly accessible for people with physical disability. The measures included installation of tactile paths inside and outside of the building, orientation plan, inscriptions in Braille, anti-slip paths, railings and handrails, ramps and adaptation of toilettes. A number of capacity building activities have been conducted, including encouraging all the staff to complete the newly issued UN disability inclusion course. The rate of completion of the course at UN level at the ned of 2022 was 60%.

Specific effort of the OMT in 2023 will be invested on advancing of disability inclusion in HR practices for which assessment in taking place in 2023."
MNG;Mongolia;363;2024-01-01;2024-03-31;"Mongolia’s Business Operations Strategy (BOS) is composed of 12 participating agencies.

For the period of 2019-2022 the BOS in Mongolia was comprised of 3 common services in 2022 (Travel, Printing and Internet)  the realized benefits for a collective effort are 74,336 USD while projected cost avoidance during 2019-2024 was 450,455 USD.

As a result of the latest BOS review the UN in Mongolia is working in further integration and expanding to 7 services in 2023 (Cleaning, Printing, Security, Travel, Internet , Network Infrastructure and Vendor database).  These additional services were selected  considering as the potential opportunity to enhance quality  and cost effectiveness. The projected realized benefits would be 304,5300 USD and cost avoidance for the period is 763,010 USD for the period 2019-2024. "
MOZ;Mozambique;365;2024-01-01;2024-03-31;"This year marks the beginning of the new Mozambique United Nations Sustainable Development Cooperation Framework (UNSDCF 2022-2026) which articulates the strategic engagement of the UNCT in Mozambique to support the country to achieve the Sustainable Development Goals (SDGs) and the national priorities. The UN RCO and twenty-five (25) UN agencies committed to work together in pursuit of the strategic priorities laid out in the UNSDCF 2022 – 2026 towards achieving the SDGs in Mozambique. Seven Agencies are non-resident and thus not participating in BOS and these are: ECA, ITC, OHCHR, UNCDF, UNCTAD, UNEP, and UNV. The UN resident agencies including UN RCO and participating in BOS are FAO, IFAD, ILO, IOM, OCHA, UNAIDS, UNDP, UNESCO, UNFPA, UNHABITAT, UNHCR, UNICEF, UNIDO, UNODC, UNOPS, UN WOMEN, WFP and WHO.

Spearhead by the Resident Coordinator, facilitated and implemented by OMT and sustained by UNCT leadership and engagement, the Mozambique Business Operations Strategy (BOS) 2021–2025 is a results-based framework focusing on joint business operations with the purpose of eliminating duplication, leveraging the common bargaining power of the UN and maximizing economies of scale.

Developed in 2021 as part of the BOS 2.0 exercise, the BOS expects to improve quality of services, including cost savings on externally sourced goods and services. Indeed, it aims at coordinating and aligning its activities for more efficient and effective service delivery, including the COVID-19 response, targeting the expected corporate results in cost and quality parameters, supporting DaO approach to operations and added value from business operations to UN Mandates. It supports maximizing the United Nation System collective advantage in addressing the humanitarian-development-peace nexus and aligning itself to the Sustainable Development Goals.

The 2022 annual review indicated that UNCT Mozambique has achieved cost avoidance of USD 3.8 million (USD 0.44 in 2019 and USD 0.35 in 2020, USD 1.40 million in 2021 and USD 1.61 in 2022). The estimated cost avoidance up to the year 2027 has reached on this year’s review to USD 45.0 million (against the original estimate of USD 7.6 million). The highest projection of estimate is under ICT equipment (USD 36 million). The top 10 services with the highest estimate cost avoidance are the below in order of rank.

1) Mobile phone services including scratch cards.
2) Joint Procurement services
3) Management of common premises
4) Travel services
5) Vehicle rental
6) Internet connectivity and VSAT services
7) Construction related materials and services
8) Harmonized customs clearance (outsourced)
9) Conference and event management
10) Help desk (first line support services).

Overall, during the review, considerable emphasis was put not only on reviewing and assessing the services, but also developing a more detailed implementation plan with more specific timelines. The 2022 Annual Review allowed an addition of 12 new common services, including some of SDG impact (gender and disability inclusion).

The UN Resident Coordinator and Humanitarian Coordinator (RC/HC) led the overall BOS review process; the UNCT provided the oversight and approval and provided the necessary staff members to participate in the exercise; the Operations Management Team, co-chaired by UNDP Resident Representative and IOM Chief of Mission, and the OMT Working Groups were responsible to facilitate the collection of the data, the analysis and updating the implementation plan."
MRT;Mauritania;360;2024-01-01;2024-03-31;"La réforme du Système de développement des Nations Unies prévoit une refonte du dispositif fonctionnel au niveau des pays dont la première étape encourage une plus grande collaboration entre les agences parties au Plan-cadre de coopération pour le développement durable (PCDD) dans le cadre de la mise en place d’une stratégie de gestion des ressources communes (business operations Strategy ou BOS).

 La BOS est un cadre de résultats et de planification conjoint qui engage les agences signataires du PCDD à renforcer leur collaboration afin d’améliorer la qualité de leurs services de gestion et d’appui opérationnels, et à réaliser des économies de coûts permettant d’optimiser les fonds qui leur sont confiés pour les activités au bénéfice de la réalisation des Objectifs de Développement Durable. La BOS vise à éliminer les doublons, à tirer parti du pouvoir de négociation conjoint, et à faire des économies d’échelle, tout en améliorant la qualité des services fournis.

La BOS 2.0 s’appuie sur une méthodologie renforcée et sur une plateforme en ligne. Afin de favoriser l’exécution efficace des plans-cadres de coopération et des composantes du Programme 2030 de développement durable, le Secrétaire général a demandé à toutes les équipes de pays de mettre en place la stratégie améliorée BOS 2.0 d’ici à 2022.

Les agences, fonds et programmes suivants participent à la BOS 2.0 de la Mauritanie : BIT, FAO, OHCHR, OIM, OMS, ONUSIDA, PAM, PNUD, UNESCO, UNFPA, UNICEF, UNHCR, UNODC, UNOWAS, UNS-RCO. 

 Le Coordonnateur Résident est redevable au Secrétaire général de l’élaboration, de la mise en œuvre, du suivi et du rapport annuel sur la BOS. L’Équipe de pays a fourni les orientations stratégiques, assuré la supervision générale de l’élaboration de la stratégie et sa validation, et mis à la disposition de l’OMT les ressources humaines et financières nécessaires. L’OMT et ses groupes de travail ont élaboré la stratégie et son plan de mise en œuvre.  La BOS 2.0 de la Mauritanie a été élaborée de manière participative, en étroite consultation avec toutes les agences participantes. Elle reflète les priorités identifiées lors de ces discussions, étayées par des analyses détaillées, et définit les résultats stratégiques à court et moyen termes qui guideront la collaboration entre les agences au cours des deux prochaines années restantes avant la fin du Cycle de Programmation qui arrive à terme en fin 2023 

 À la demande de l’Équipe de pays, l’OMT a priorisé les lignes de services « Administration », « Achats », « Finances », « Ressources Humaines », et « Technologies de l'Information et de la Communication ».  Seize services communs ont été retenus, dont la mise en œuvre devait permettre des économies de coûts d’environ 2.40 millions USD. L'équipe de pays des Nations Unies a réalisé un évitement des couts de 1.38 million sur une projection de 2.40 millions lors de l'examen BOS 2.0 sur la période 2019-2022

La revue de l'exécution de la BOS de la Mauritanie a démontré que des bénéfices qualitatifs ont été obtenus avec la mise en place d’une base de données centrale pour les LTA, laquelle facilite, la collaboration en matière d’achats et contribuera, à terme, à fournir des services d’approvisionnement sensibles au genre et aux populations à besoins spécifiques, tout en prenant en compte la promotion d'une consommation écologique axée sur la réduction des émissions de gaz à effet de serre. En outre, grâce à la mutualisation d’une série de services visant la mise en place d’un barème harmonisé, la formation du staff sur le PSEA, et d’une stratégie genre dans le recrutement du personnel, il est attendu d'ici fin 2023 une amélioration sensible de la qualité de l’environnement du travail et de l’épanouissement du personnel UN.

Les gains escomptés de la BOS 2.0 s’appuient sur plusieurs hypothèses, dont la disponibilité des ressources humaines et financières nécessaires à sa mise en œuvre, et l’engagement des agences de s’appuyer prioritairement sur les accords à long terme (LTAs) communs pour l’acquisition de biens et services.  Plusieurs risques ont été identifiés, parmi lesquels l’engagement individuel des agences reste un des plus importants, ainsi que la capacité du marché local à répondre aux besoins."
MUS;Mauritius;361;2024-01-01;2024-03-31;"With a desire to streamline the implementation the two  United Nations Sustainable Development Cooperation Frameworks (UNSDCF) 2019 – 2021, for MCO Mauritius and Seychelles, the United Nations Country Team (UNCT) in Mauritius and Seychelles developed Business Operations Strategy (BOS) 1.0 (2020 – 2023) to coordinate and align its activities for more efficient and effective service delivery including COVID 19 response, thereby mitigating duplication of processes, curtail transaction costs and enhance operational efficiency...

The Business Operations Strategy (BOS) developed in 2020 was the first of its kind and focused on joint business operations with the purpose of eliminating duplication, leveraging the common bargaining power of the UN, and maximizing economies of scale. This first BOS developed in 2020 identified seven common services for future collaboration namely; Common Administration services, Common cleaning services, Common UN premises, Common procurement services, common parking services, common security services, and common Gender responsive services, common procurement sourcing. RCO Mauritius is an MCO covering Mauritius and Seychelles, noteworthy in 2021 the RCO established a fully functional liaison office in Seychelles. Some Non-Resident Agencies (NRAs) will benefit from the newly established RCO liaison office and some components like procurement, human resources and IT services when they travel to the MCO through agency focal persons who are in Mauritius or Seychelles. 

Since the COVID-19 pandemic outbreak in 2020, the UNCT in Mauritius and Seychelles has given strong priority to UN care and staff welfare activities which include vaccination and COVID19 testing. The UN care and staff wellbeing activities were integrated into the BOS during the 2022 annual review.

Overall, during the 2022 BOS review, the focus was put on not only reviewing and assessing the services but also strengthening the BOS contribution to support the achievement of high impact programmatic results, especially in the area “Leaving No One Behind”, Gender equality, and PSEA. In this regards the following new activities were added to the BOS; Human Resources surveys, PSEA - Prevention of Sexual Exploitation and Abuse, UN activities (UN Cares & UN Day), Environmental Responsive Procurement Sourcing. Participating agencies are UNRCO, UNDP, IOM and WHO. Non Resident Agencies that contribute to the Cooperation Framework include UNFPA, UNODC and FAO, noting that UNICEF does not implement any activities in Mauritius currently.

Following the 2020 annual review, the overall cost avoidance for the next five years is estimated at 349 thousand US dollars from February 2022 to December 2026 which is an important saving considering that Mauritius is operating in Typology 2 (Total UNCT investment between 40,000 and 100,000 USD).  The initial cost avoidance was 166 thousand US dollars and it is 183 thousand during the 2022 annual review.

Implementation of the BOS will not only lead to cost avoidance but also to quality improvement of services which will be monitored throughout the life on the BOS."
MWI;Malawi;419;2024-01-01;2024-03-31;"The UN's Business Operations Strategy (BOS 2.0) is a results-based framework that aligns with the United Nations Sustainable Development Cooperation Framework (UNSDCF) and aims to improve the efficiency of UN business operations through joint efforts. The 2022 annual review report, which covers the period from 2019 to 2022, indicates that the Malawi BOS 2.0 was successful in delivering a total cost avoidance of $3,034,586. Out of this total, $1,110,287 was realized specifically in the year 2022.

The Operations Management Team and its Technical Working Groups, under the leadership of the UNCT, focused on mitigating duplication of business processes within the UN system, leveraging the common bargaining power of the UN due to increased volumes from collaboration, and maximizing economies of scale.

As a result of the BOS implementation, the UN in Malawi achieved large cost avoidances in several areas, including vendor assessments and contract management services ($688,390), travel services ($563,597), storage and warehouse management services ($318,079), vehicle rental ($271,704), and fuel management ($242,656).

In 2022, UN Malawi also implemented High Impact Common Services that were selected for their potential to improve service quality, promote good practices, and advance the SDG agenda. For example, a UN Primary Care Clinic was established, which is currently providing improved quality access to primary health care to UN personnel and their dependents. This has allowed for staff medical needs to be addressed with ease and efficiency. Additionally, initiatives for the Prevention of Sexual Exploitation and Abuse (PSEA) in individual agencies have been harmonized as a common service, facilitated by a coordinator in the Resident Coordinator's Office, to support UNCT in its six-priority programmatic areas.

To address power outages in Malawi, the OMT's Administration Working Group is exploring the potential of establishing a common service for green energy solar home kits as a cost-effective and sustainable green solution for staff power backup.

To lead by example in gender-responsive procurement, OMT's Procurement Working Group will harmonize the current efforts in agencies and scale up the sustainable selection of services and goods that take into account the impact of gender equality and women's empowerment.

During the BOS review, it was also decided to discontinue some common services for lack of expected quality improvement or potential cost avoidance in the foreseeable future, including knowledge sharing, rate harmonization and media monitoring. While HR support to COVID-19 response was discontinued since the COVID treatment centre was shut down in March 2022.

BOS data and reporting for the following entities FAO, IFAD, UNAIDS, UNS, UNHCR, UNICEF, WFP, and WHO were validated by their entity HQ/RO focal point before being presented to UNCT. On completion of the quality assurance processes, the results of the annual review and 2023 budget were submitted to UNCT for endorsement on 13 April 2023.

Following a consultative process, UNCT endorsed the 2023 BOS on 14 April 2023, committing to the allocation of financial (BOS Budget - $ 814,205) and human resources (staff time) for the achievement of BOS objectives, with mutual recognition as a veritable driver for collaboration."
